Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,Sub-type,Book title,Edition
Conference Paper,"Palomba F,Tamburri DA,Serebrenik A,Zaidman A,Fontana FA,Oliveto R",How Do Community Smells Influence Code Smells?,,2018,,,240–241,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,"Gothenburg, Sweden",2018,9781450356633.0,,https://doi.org/10.1145/3183440.3194950;http://dx.doi.org/10.1145/3183440.3194950,10.1145/3183440.3194950,"Code smells reflect sub-optimal patterns of code that often lead to critical software flaws or failure. In the same way, community smells reflect sub-optimal organisational and socio-technical patterns in the organisational structure of the software community.To understand the relation between the community smells and code smells we start by surveying 162 developers of nine open-source systems. Then we look deeper into this connection by conducting an empirical study of 117 releases from these systems.Our results indicate that community-related factors are intuitively perceived by most developers as causes of the persistence of code smells. Inspired by this observation we design a community-aware prediction model for code smells and show that it outperforms a model that does not consider community factors.","code smells, community smells, organisational structure",ICSE '18,,,
Conference Paper,"Khandelwal S,Sripada SK,Reddy YR",Impact of Gamification on Code Review Process: An Experimental Study,,2017,,,122–126,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 10th Innovations in Software Engineering Conference,"Jaipur, India",2017,9781450348560.0,,https://doi.org/10.1145/3021460.3021474;http://dx.doi.org/10.1145/3021460.3021474,10.1145/3021460.3021474,"Researchers have supported the idea of gamification to enhance students' interest in activities like code reviews, change management, knowledge management, issue tracking, etc. which might otherwise be repetitive and monotonous. We performed an experimental study consisting of nearly 180+ participants to measure the impact of gamification on code review process using 5 different code review tools, including one gamified code review instance from our extensible architectural framework. We assess the impact of gamification based on the code smells and bugs identified in a gamified and non-gamified environment as per code inspection report. Further, measurement and comparison of the quantity and usefulness of code review comments was done using machine learning techniques.","Architectural Framework, Text Analysis, Gamification, Evaluation, Classification, Code Reviews",ISEC '17,,,
Conference Paper,"Oizumi W,Bibiano AC,Cedrim D,Oliveira A,Sousa L,Garcia A,Oliveira D",Recommending Composite Refactorings for Smell Removal: Heuristics and Evaluation,,2020,,,72–81,Association for Computing Machinery,"New York, NY, USA",Proceedings of the XXXIV Brazilian Symposium on Software Engineering,"Natal, Brazil",2020,9781450387538.0,,https://doi.org/10.1145/3422392.3422423;http://dx.doi.org/10.1145/3422392.3422423,10.1145/3422392.3422423,"Structural degradation is the process in which quality attributes of a system are negatively impacted. When due attention is not paid to structural degradation, the source code may also become difficult to change. Code smells are recurring structures in the source code that may represent structural degradation. Hence, there are many catalogs and techniques for supporting the removal of code smells through refactoring recommendations, which usually consist of single refactorings such as a Move Method or an Extract Method. However, single refactorings are often not enough for completely removing certain smell occurrences. Moreover, recent studies show that developers most often apply composite refactorings - i.e., sequences of two or more refactorings - for removing code smells. Despite showing the importance of performing composite refactorings, most studies do not provide information on which composite refactoring patterns are recurrent in practice. In this context, a previous study identified 35 smell removal patterns that are frequent across multiple open source systems. However, such study has not explored how the removal patterns could help developers to apply effective composite refactorings. Thus, in this work, we propose a suite of new recommendation heuristics to help developers in applying effective composite refactorings. These heuristics are intended to remove three code smell types, namely Complex Class, Feature Envy, and God Class. After designing the heuristics, we evaluated their effectiveness through a quasi-experiment. This evaluation was conducted with 12 software developers and 9 smelly Java classes. Results indicate that developers considered our heuristics effective or partially effective in more than 93% of the cases. In addition, the evaluation helped us to identify multiple factors that contribute to the acceptance or rejection of the refactoring recommendations. Based on these factors, we defined new guidelines for the effective recommendation of smell-removal composite refactorings.","code smells, refactoring recommendations, refactoring heuristics, refactoring, composite refactoring patterns, composite refactoring",SBES '20,,,
Conference Paper,"Tsantalis N,Mansouri M,Eshkevari LM,Mazinanian D,Dig D",Accurate and Efficient Refactoring Detection in Commit History,,2018,,,483–494,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 40th International Conference on Software Engineering,"Gothenburg, Sweden",2018,9781450356381.0,,https://doi.org/10.1145/3180155.3180206;http://dx.doi.org/10.1145/3180155.3180206,10.1145/3180155.3180206,"Refactoring detection algorithms have been crucial to a variety of applications: (i) empirical studies about the evolution of code, tests, and faults, (ii) tools for library API migration, (iii) improving the comprehension of changes and code reviews, etc. However, recent research has questioned the accuracy of the state-of-the-art refactoring detection tools, which poses threats to the reliability of their application. Moreover, previous refactoring detection tools are very sensitive to user-provided similarity thresholds, which further reduces their practical accuracy. In addition, their requirement to build the project versions/revisions under analysis makes them inapplicable in many real-world scenarios.To reinvigorate a previously fruitful line of research that has stifled, we designed, implemented, and evaluated RMiner, a technique that overcomes the above limitations. At the heart of RMiner is an AST-based statement matching algorithm that determines refactoring candidates without requiring user-defined thresholds. To empirically evaluate RMiner, we created the most comprehensive oracle to date that uses triangulation to create a dataset with considerably reduced bias, representing 3,188 refactorings from 185 open-source projects. Using this oracle, we found that RMiner has a precision of 98% and recall of 87%, which is a significant improvement over the previous state-of-the-art.","Oracle, abstract syntax tree, accuracy, commit, refactoring, Git",ICSE '18,,,
Conference Paper,"Hecht G,Benomar O,Rouvoy R,Moha N,Duchien L",Tracking the Software Quality of Android Applications along Their Evolution,,2015,,,236–247,IEEE Press,"Lincoln, Nebraska",Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering,,2015,9781509000241.0,,https://doi.org/10.1109/ASE.2015.46;http://dx.doi.org/10.1109/ASE.2015.46,10.1109/ASE.2015.46,"Mobile apps are becoming complex software systems that must be developed quickly and evolve continuously to fit new user requirements and execution contexts. However, addressing these requirements may result in poor design choices, also known as antipatterns, which may incidentally degrade software quality and performance. Thus, the automatic detection and tracking of antipatterns in this apps are important activities in order to ease both maintenance and evolution. Moreover, they guide developers to refactor their applications and thus, to improve their quality. While antipatterns are well-known in object-oriented applications, their study in mobile applications is still in its infancy. In this paper, we analyze the evolution of mobile apps quality on 3,568 versions of 106 popular Android applications downloaded from the Google Play Store. For this purpose, we use a tooled approach, called Paprika, to identify 3 object-oriented and 4 Android-specific antipatterns from binaries of mobile apps, and to analyze their quality along evolutions.","Android, antipattern, mobile app, software quality",ASE '15,,,
Conference Paper,"Kiefer C,Bernstein A,Tappolet J",Mining Software Repositories with ISPAROL and a Software Evolution Ontology,,2007,,,10,IEEE Computer Society,USA,Proceedings of the Fourth International Workshop on Mining Software Repositories,,2007,9780769529509.0,,https://doi.org/10.1109/MSR.2007.21;http://dx.doi.org/10.1109/MSR.2007.21,10.1109/MSR.2007.21,"One of the most important decisions researchers face when analyzing the evolution of software systems is the choice of a proper data analysis/exchange format. Most existing formats have to be processed with special programs written specifically for that purpose and are not easily extendible. Most scientists, therefore, use their own database( s) requiring each of them to repeat the work of writing the import/export programs to their format. We present EvoOnt, a software repository data exchange format based on the Web Ontology Language (OWL). EvoOnt includes software, release, and bug-related information. Since OWL describes the semantics of the data, EvoOnt is (1) easily extendible, (2) comes with many existing tools, and (3) allows to derive assertions through its inherent Description Logic reasoning capabilities. The paper also shows iSPARQL -- our SPARQL-based Semantic Web query engine containing similarity joins. Together with EvoOnt, iSPARQL can accomplish a sizable number of tasks sought in software repository mining projects, such as an assessment of the amount of change between versions or the detection of bad code smells. To illustrate the usefulness of EvoOnt (and iSPARQL), we perform a series of experiments with a real-world Java project. These show that a number of software analyses can be reduced to simple iSPARQL queries on an EvoOnt dataset.",,MSR '07,,,
Conference Paper,Cedrim D,Context-Sensitive Identification of Refactoring Opportunities,,2016,,,827–830,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 38th International Conference on Software Engineering Companion,"Austin, Texas",2016,9781450342056.0,,https://doi.org/10.1145/2889160.2889266;http://dx.doi.org/10.1145/2889160.2889266,10.1145/2889160.2889266,"Refactoring is a popular procedure for improving the internal structure of software systems. Refactoring is widely practiced by developers, and considerable development effort has been invested in refactoring tooling support. The identification of refactoring opportunities usually is based on subjective perceptions. At best, identification of refactoring opportunities is based on observation of code smells, which is also subjective and error-prone. As a consequence, developers struggle to identify when large systems should be refactored and, once the identification is complete, they still need to choose the types of refactoring to be performed. To overcome these problems, this PhD research aims at: (i) improving the state-of-the-art by introducing a novel model for identifying refactoring opportunities; and (ii) indicating which types of refactorings should be performed in order to improve the code internal structure.","code smells, refactoring, refactoring opportunities",ICSE '16,,,
Conference Paper,"Palomba F,Zaidman A,Oliveto R,De Lucia A",An Exploratory Study on the Relationship between Changes and Refactoring,,2017,,,176–185,IEEE Press,"Buenos Aires, Argentina",Proceedings of the 25th International Conference on Program Comprehension,,2017,9781538605356.0,,https://doi.org/10.1109/ICPC.2017.38;http://dx.doi.org/10.1109/ICPC.2017.38,10.1109/ICPC.2017.38,"Refactoring aims at improving the internal structure of a software system without changing its external behavior. Previous studies empirically assessed, on the one hand, the benefits of refactoring in terms of code quality and developers' productivity, and on the other hand, the underlying reasons that push programmers to apply refactoring. Results achieved in the latter investigations indicate that besides personal motivation such as the responsibility concerned with code authorship, refactoring is mainly performed as a consequence of changes in the requirements rather than driven by software quality. However, these findings have been derived by surveying developers, and therefore no software repository study has been carried out to corroborate the achieved findings. To bridge this gap, we provide a quantitative investigation on the relationship between different types of code changes (i.e., Fault Repairing Modification, Feature Introduction Modification, and General Maintenance Modification) and 28 different refactoring types coming from 3 open source projects. Results showed that developers tend to apply a higher number of refactoring operations aimed at improving maintainability and comprehensibility of the source code when fixing bugs. Instead, when new features are implemented, more complex refactoring operations are performed to improve code cohesion. Most of the times, the underlying reasons behind the application of such refactoring operations are represented by the presence of duplicate code or previously introduced self-admitted technical debts.","empirical studies, code changes, refactoring",ICPC '17,,,
Conference Paper,"Rocha J,Melo H,Coelho R,Sena B",Towards a Catalogue of Java Exception Handling Bad Smells and Refactorings,,2020,,,,The Hillside Group,USA,Proceedings of the 25th Conference on Pattern Languages of Programs,"Portland, Oregon",2020,,,,,"Software is made by humans for human use and, for that reason, it is bound to fail. As language designers accepted failure as an inevitable factor, mechanisms had to be created to deal with it. Java was designed with an elaborate built-in exception handling mechanism which allowed programmers to anticipate failures and prepare the application to deal with them from a high level point of view. However, the exception handling code designed to make a system more robust often works the other way around and become a burden programmers have to cope with.Some guidelines on how to better cope with the exception handling code have been proposed, papers have been written on this topic and tools have been built, nevertheless, such pieces of information are spread and structured in different ways. This paper aims to collect such guidelines on good and bad practices from different sources and compile it as a catalogue of bad smells and associated refactorings as a way to help new and experienced developers improve the exception handling code of Java programs.","patterns, Java, exception handling",PLoP '18,,,
Conference Paper,Rama GM,A Desiderata for Refactoring-Based Software Modularity Improvement,,2010,,,93–102,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 3rd India Software Engineering Conference,"Mysore, India",2010,9781605589220.0,,https://doi.org/10.1145/1730874.1730893;http://dx.doi.org/10.1145/1730874.1730893,10.1145/1730874.1730893,"There exists number of large business critical software systems of recent vintage that are becoming increasingly difficult to maintain. These systems, written in newer languages such as C and Java are fast becoming legacy and showing the same symptoms of modularity deterioration reminiscent of older legacy systems written in Cobol and PL1. However, this problem has not received much attention from the software modularization community. In this paper, we argue that the modularization needs of these relatively newer systems, which generally have some modular structure, is significantly different from the needs of older, mainly monolithic, legacy systems. We emphasize the need for incrementally improving modularity and propose a software refactoring based approach to solve this problem, thereby, uniting hitherto two disparate threads of research - software modularization and software refactoring. As part of this refactoring based modularity improvement approach, we identify a set of modularity smells and specify how to detect these smells in poorly modularized software systems. A validation of these modularity smells is carried out using several open source systems.","software modularity, software refactoring, software maintenance, preventive maintenance, code smells",ISEC '10,,,
Conference Paper,"Gama E,Freire S,Mendonça M,Spínola RO,Paixao M,Cortés MI",Using Stack Overflow to Assess Technical Debt Identification on Software Projects,,2020,,,730–739,Association for Computing Machinery,"New York, NY, USA",Proceedings of the XXXIV Brazilian Symposium on Software Engineering,"Natal, Brazil",2020,9781450387538.0,,https://doi.org/10.1145/3422392.3422429;http://dx.doi.org/10.1145/3422392.3422429,10.1145/3422392.3422429,"Context. The accumulation of technical debt (TD) items can lead to risks in software projects, such a gradual decrease in product quality, difficulties in their maintenance, and ultimately the cancellation of the project. To mitigate these risks, developers need means to identify TD items, which enable better documentation and improvements in TD management. Recent literature has proposed different indicator-based strategies for TD identification. However, there is limited empirical evidence to support that developers use these indicators to identify TD in practice. In this context, data from Q&A websites, such as Stack Overflow (SO), have been extensively leveraged in recent studies to investigate software engineering practices from a developers' point of view. Goal. This paper seeks to investigate, from the point of view of practitioners, how developers commonly identify TD items in their projects. Method. We mined, curated, and selected a total of 140 TD-related discussions on SO, from which we performed both quantitative and qualitative analyses. Results. We found that SO's practitioners commonly discuss TD identification, revealing 29 different low-level indicators for recognizing TD items on code, infrastructure, architecture, and tests. We grouped low-level indicators based on their themes, producing an aggregated set of 13 distinct high-level indicators. We then classified all low- and high-level indicators into three different categories according to which type of debt each of them is meant to identify. Conclusions. We organize the empirical evidence on the low- and high-level indicators and their relationship to types of TD in a conceptual framework, which may assist developers and serve as guidance for future research, shedding new light on TD identification state-of-practice.","Indicators, Stack Overflow, Technical Debt, Mining Software Repositories",SBES '20,,,
Journal Article,"Ouni A,Kessentini M,Sahraoui H,Inoue K,Deb K",Multi-Criteria Code Refactoring Using Search-Based Software Engineering: An Industrial Case Study,ACM Trans. Softw. Eng. Methodol.,2016,25.0,3,,Association for Computing Machinery,"New York, NY, USA",,,2016-06,,1049-331X,https://doi.org/10.1145/2932631;http://dx.doi.org/10.1145/2932631,10.1145/2932631,"One of the most widely used techniques to improve the quality of existing software systems is refactoring—the process of improving the design of existing code by changing its internal structure without altering its external behavior. While it is important to suggest refactorings that improve the quality and structure of the system, many other criteria are also important to consider, such as reducing the number of code changes, preserving the semantics of the software design and not only its behavior, and maintaining consistency with the previously applied refactorings. In this article, we propose a multi-objective search-based approach for automating the recommendation of refactorings. The process aims at finding the optimal sequence of refactorings that (i) improves the quality by minimizing the number of design defects, (ii) minimizes code changes required to fix those defects, (iii) preserves design semantics, and (iv) maximizes the consistency with the previously code changes. We evaluated the efficiency of our approach using a benchmark of six open-source systems, 11 different types of refactorings (move method, move field, pull up method, pull up field, push down method, push down field, inline class, move class, extract class, extract method, and extract interface) and six commonly occurring design defect types (blob, spaghetti code, functional decomposition, data class, shotgun surgery, and feature envy) through an empirical study conducted with experts. In addition, we performed an industrial validation of our technique, with 10 software engineers, on a large project provided by our industrial partner. We found that the proposed refactorings succeed in preserving the design coherence of the code, with an acceptable level of code change score while reusing knowledge from recorded refactorings applied in the past to similar contexts.","Search-based software engineering, software maintenance, multi-objective optimization, refactoring, software evolution",,,,
Conference Paper,"Cedrim D,Garcia A,Mongiovi M,Gheyi R,Sousa L,de Mello R,Fonseca B,Ribeiro M,Chávez A",Understanding the Impact of Refactoring on Smells: A Longitudinal Study of 23 Software Projects,,2017,,,465–475,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,"Paderborn, Germany",2017,9781450351058.0,,https://doi.org/10.1145/3106237.3106259;http://dx.doi.org/10.1145/3106237.3106259,10.1145/3106237.3106259,"Code smells in a program represent indications of structural quality problems, which can be addressed by software refactoring. However, refactoring intends to achieve different goals in practice, and its application may not reduce smelly structures. Developers may neglect or end up creating new code smells through refactoring. Unfortunately, little has been reported about the beneficial and harmful effects of refactoring on code smells. This paper reports a longitudinal study intended to address this gap. We analyze how often commonly-used refactoring types affect the density of 13 types of code smells along the version histories of 23 projects. Our findings are based on the analysis of 16,566 refactorings distributed in 10 different types. Even though 79.4% of the refactorings touched smelly elements, 57% did not reduce their occurrences. Surprisingly, only 9.7% of refactorings removed smells, while 33.3% induced the introduction of new ones. More than 95% of such refactoring-induced smells were not removed in successive commits, which suggest refactorings tend to more frequently introduce long-living smells instead of eliminating existing ones. We also characterized and quantified typical refactoring-smell patterns, and observed that harmful patterns are frequent, including: (i) approximately 30% of the Move Method and Pull Up Method refactorings induced the emergence of God Class, and (ii) the Extract Superclass refactoring creates the smell Speculative Generality in 68% of the cases.","Structural Quality, Refactoring, Code Smells",ESEC/FSE 2017,,,
Conference Paper,"Saarimäki N,Lenarduzzi V,Taibi D",On the Diffuseness of Code Technical Debt in Java Projects of the Apache Ecosystem,,2019,,,98–107,IEEE Press,"Montreal, Quebec, Canada",Proceedings of the Second International Conference on Technical Debt,,2019,,,https://doi.org/10.1109/TechDebt.2019.00028;http://dx.doi.org/10.1109/TechDebt.2019.00028,10.1109/TechDebt.2019.00028,"Background. Companies commonly invest major effort into removing, respectively not introducing, technical debt issues detected by static analysis tools such as SonarQube, Cast, or Coverity. These tools classify technical debt issues into categories according to severity, and developers commonly pay attention to not introducing issues with a high level of severity that could generate bugs or make software maintenance more difficult.Objective. In this work, we aim to understand the diffuseness of Technical Debt (TD) issues and the speed with which developers remove them from the code if they introduced such an issue. The goal is to understand which type of TD is more diffused and how much attention is paid by the developers, as well as to investigate whether TD issues with a higher level of severity are resolved faster than those with a lower level of severity. We conducted a case study across 78K commits of 33 Java projects from the Apache Software Foundation Ecosystem to investigate the distribution of 1.4M TD items.Results. TD items introduced into the code are mostly related to code smells (issues that can increase the maintenance effort). Moreover, developers commonly remove the most severe issues faster than less severe ones. However, the time needed to resolve issues increases when the level of severity increases (minor issues are removed faster that blocker ones).Conclusion. One possible answer to the unexpected issue of resolution time might be that severity is not correctly defined by the tools. Another possible answer is that the rules at an intermediate severity level could be the ones that technically require more time to be removed. The classification of TD items, including their severity and type, require thorough investigation from a research point of view.","sonarqube, technical debt issues, violations",TechDebt '19,,,
Conference Paper,"Fu X,Xu Y",Recursive Autoencoder with HowNet Lexicon for Sentence-Level Sentiment Analysis,,2015,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the ASE BigData & SocialInformatics 2015,"Kaohsiung, Taiwan",2015,9781450337359.0,,https://doi.org/10.1145/2818869.2818908;http://dx.doi.org/10.1145/2818869.2818908,10.1145/2818869.2818908,"Semantic word representations have been very useful but usually ignore the syntactic relationship. In the task of sentiment analysis, compositional vector representations require more structure information from natural language text and richer supervised training for more accuracy predictions. However, labeled data are generally expensive to acquire in reality. To remedy this, we propose a new method that train our model based on fully labeled parse tree using supervised learning without manual annotation. Our method not only significantly reduces the burden of manual labeling, but also allows the compositionality to capture syntactic and semantic information jointly. We show the effectiveness of this model on the task of sentence-level sentiment classification and conduct preliminary experiments to investigate its performance. Lastly, it can accurately predict the sentiment distribution and outperforms other approaches.","Data Mining, Deep Learning, HowNet Lexicon, Word Embedding, Parse Tree, Sentiment Label, Sentiment Analysis",ASE BD&SI '15,,,
Conference Paper,"Kessentini M,Ouni A",Detecting Android Smells Using Multi-Objective Genetic Programming,,2017,,,122–132,IEEE Press,"Buenos Aires, Argentina",Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,,2017,9781538626696.0,,https://doi.org/10.1109/MOBILESoft.2017.29;http://dx.doi.org/10.1109/MOBILESoft.2017.29,10.1109/MOBILESoft.2017.29,"The evolution rate of mobile applications is much higher than regular software applications having shorter release deadlines and smaller code base. Mobile applications tend to be evolved quickly by developers to meet several new customer requirements and fix discovered bugs. However, evolving the existing features and design may introduce bad design practices, also called code smells, which can highly decrease the maintainability and performance of these mobile applications. However, unlike the area of object-oriented software systems, the detection of code smells in mobile applications received a very little of attention. Recent, few studies defined a set of quality metrics for Android applications and proposed a support to manually write a set of rules to detect code smells by combining these quality metrics. However, finding the best combination of metrics and their thresholds to identify code smells is left to the developer as a manual process. In this paper, we propose to automatically generate rules for the detection of code smells in Android applications using a multi-objective genetic programming algorithm (MOGP). The MOGP algorithm aims at finding the best set of rules that cover a set of code smell examples of Android applications based on two conflicting objective functions of precision and recall. We evaluate our approach on 184 Android projects with source code hosted in GitHub. The statistical test of our results show that the generated detection rules identified 10 Android smell types on these mobile applications with an average correctness higher than 82% and an average relevance of 77% based on the feedback of active developers of mobile apps.","quality, Android apps, search-based software engineering",MOBILESoft '17,,,
Conference Paper,"Akbarinasaji S,Bener A,Neal A",A Heuristic for Estimating the Impact of Lingering Defects: Can Debt Analogy Be Used as a Metric?,,2017,,,36–42,IEEE Press,"Buenos Aires, Argentina",Proceedings of the 8th Workshop on Emerging Trends in Software Metrics,,2017,9781538628072.0,,,,"Background: Due to tight scheduling and limited budget, it may not be possible to resolve all the existing bugs in a current release of a software product. The accumulation of the deferred bugs in the issue tracking system are obligations (liabilities) of the software team similar to financial analogy of 'debt'. Defect debt is known as latent defects which are not resolved in the current release. Aim: In order to manage the defect debt, software managers need to be aware of the amount of debt (principal) as well as the price of the credit (interest) in their system. There are no studies in the literature to measure the principal or interest of defect debt. In this study, we propose a novel approach to identify the interest of defect debt. Methodology: We developed a heuristic to specify the interest based on three metrics: PageRank index, customer feedback and bug fixing duration. In order to investigate the feasibility of our heuristic, we employ it to two datasets that are extracted from both open source and commercial software products. We validate the heuristic using two metrics: the severity/priority of bugs, and the duration of bug fixing time. Result: The results show that 24% and 18% of the deferred bugs are high and medium impact bugs in project 1 and project 2, respectively.","lingering defect, PageRank, software metrics, graph theory, interest",WETSoM '17,,,
Conference Paper,"Wert A,Oehler M,Heger C,Farahbod R",Automatic Detection of Performance Anti-Patterns in Inter-Component Communications,,2014,,,3–12,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 10th International ACM Sigsoft Conference on Quality of Software Architectures,"Marcq-en-Bareul, France",2014,9781450325769.0,,https://doi.org/10.1145/2602576.2602579;http://dx.doi.org/10.1145/2602576.2602579,10.1145/2602576.2602579,"Performance problems such as high response times in software applications have a significant effect on the customer's satisfaction. In enterprise applications, performance problems are frequently manifested in inefficient or unnecessary communication patterns between software components originating from poor architectural design or implementation. Due to high manual effort, thorough performance analysis is often neglected, in practice. In order to overcome this problem, automated engineering approaches are required for the detection of performance problems. In this paper, we introduce several heuristics for measurement-based detection of well-known performance anti-patterns in inter-component communications. The detection heuristics comprise load and instrumentation descriptions for performance tests as well as corresponding detection rules. We integrate these heuristics with Dynamic Spotter, a framework for automatic detection of performance problems. We evaluate our heuristics on four evaluation scenarios based on an e-commerce benchmark (TPC-W) where the heuristics detect the expected communication performance anti-patterns and pinpoint their root causes.","performance testing, performance anti-patterns, performance problem diagnostics",QoSA '14,,,
Conference Paper,"Tufano M,Palomba F,Bavota G,Oliveto R,Di Penta M,De Lucia A,Poshyvanyk D",When and Why Your Code Starts to Smell Bad,,2015,,,403–414,IEEE Press,"Florence, Italy",Proceedings of the 37th International Conference on Software Engineering - Volume 1,,2015,9781479919345.0,,,,"In past and recent years, the issues related to managing technical debt received significant attention by researchers from both industry and academia. There are several factors that contribute to technical debt. One of these is represented by code bad smells, i.e., symptoms of poor design and implementation choices. While the repercussions of smells on code quality have been empirically assessed, there is still only anecdotal evidence on when and why bad smells are introduced. To fill this gap, we conducted a large empirical study over the change history of 200 open source projects from different software ecosystems and investigated when bad smells are introduced by developers, and the circumstances and reasons behind their introduction. Our study required the development of a strategy to identify smell-introducing commits, the mining of over 0.5M commits, and the manual analysis of 9,164 of them (i.e., those identified as smell-introducing). Our findings mostly contradict common wisdom stating that smells are being introduced during evolutionary tasks. In the light of our results, we also call for the need to develop a new generation of recommendation systems aimed at properly planning smell refactoring activities.",,ICSE '15,,,
Conference Paper,"AlOmar EA,Mkaouer MW,Ouni A",Can Refactoring Be Self-Affirmed? An Exploratory Study on How Developers Document Their Refactoring Activities in Commit Messages,,2019,,,51–58,IEEE Press,"Montreal, Quebec, Canada",Proceedings of the 3rd International Workshop on Refactoring,,2019,,,https://doi.org/10.1109/IWoR.2019.00017;http://dx.doi.org/10.1109/IWoR.2019.00017,10.1109/IWoR.2019.00017,"Refactoring is a critical task in software maintenance and is usually performed to enforce best design practices, or to cope with design defects. Previous studies heavily rely on defining a set of keywords to identify refactoring commits from a list of general commits extracted from a small set of software systems. All approaches thus far consider all commits without checking whether refactorings had actually happened or not. In this paper, we aim at exploring how developers document their refactoring activities during the software life cycle. We call such activity Self-Affirmed Refactoring, which is an indication of the developer-related refactoring events in the commit messages. Our approach relies on text mining refactoring-related change messages and identifying refactoring patterns by only considering refactoring commits. We found that (1) developers use a variety of patterns to purposefully target refactoring-related activities; (2) developers tend to explicitly mention the improvement of specific quality attributes and code smells; and (3) commit messages with self-affirmed refactoring patterns tend to have more significant refactoring activity than those without.","mining software repositories, self-affirmed refactoring, software quality",IWOR '19,,,
Journal Article,"Hall T,Zhang M,Bowes D,Sun Y",Some Code Smells Have a Significant but Small Effect on Faults,ACM Trans. Softw. Eng. Methodol.,2014,23.0,4,,Association for Computing Machinery,"New York, NY, USA",,,2014-09,,1049-331X,https://doi.org/10.1145/2629648;http://dx.doi.org/10.1145/2629648,10.1145/2629648,"We investigate the relationship between faults and five of Fowler et al.'s least-studied smells in code: Data Clumps, Switch Statements, Speculative Generality, Message Chains, and Middle Man. We developed a tool to detect these five smells in three open-source systems: Eclipse, ArgoUML, and Apache Commons. We collected fault data from the change and fault repositories of each system. We built Negative Binomial regression models to analyse the relationships between smells and faults and report the McFadden effect size of those relationships. Our results suggest that Switch Statements had no effect on faults in any of the three systems; Message Chains increased faults in two systems; Message Chains which occurred in larger files reduced faults; Data Clumps reduced faults in Apache and Eclipse but increased faults in ArgoUML; Middle Man reduced faults only in ArgoUML, and Speculative Generality reduced faults only in Eclipse. File size alone affects faults in some systems but not in all systems. Where smells did significantly affect faults, the size of that effect was small (always under 10 percent). Our findings suggest that some smells do indicate fault-prone code in some circumstances but that the effect that these smells have on faults is small. Our findings also show that smells have different effects on different systems. We conclude that arbitrary refactoring is unlikely to significantly reduce fault-proneness and in some cases may increase fault-proneness.","defects, Software code smells",,,,
Conference Paper,"Ordiales Coscia JL,Crasso M,Mateos C,Zunino A",An Approach to Improve Code-First Web Services Discoverability at Development Time,,2012,,,638–643,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 27th Annual ACM Symposium on Applied Computing,"Trento, Italy",2012,9781450308571.0,,https://doi.org/10.1145/2245276.2245400;http://dx.doi.org/10.1145/2245276.2245400,10.1145/2245276.2245400,"Previous efforts towards simplifying Web Service discovery have shown that avoiding some well-known WSDL specification anti-patterns yield quite good results in making more discoverable services. The anti-patterns, however, have been studied with contract-first Web Services, a service construction methodology that is much less popular in the software industry compared to code-first. We study a number of source code refactorings that can be applied at service development time to reduce the presence of anti-patterns in code-first WSDL documents. The cornerstone of these refactorings is a statistical correlation between common object-oriented (OO) metrics and the anti-patterns computed by using a data-set of real Web Services. We quantify the impact of the refactorings on Web Service discovery and show that more clear WSDL documents are generated and service discovery is greatly improved.","OO metrics, web services, web service discovery, code-first, WSDL anti-patterns",SAC '12,,,
Journal Article,"Bajczi L,Vörös A,Molnár V",Will My Program Break on This Faulty Processor? Formal Analysis of Hardware Fault Activations in Concurrent Embedded Software,ACM Trans. Embed. Comput. Syst.,2019,18.0,5s,,Association for Computing Machinery,"New York, NY, USA",,,2019-10,,1539-9087,https://doi.org/10.1145/3358238;http://dx.doi.org/10.1145/3358238,10.1145/3358238,"Formal verification is approaching a point where it will be reliably applicable to embedded software. Even though formal verification can efficiently analyze multi-threaded applications, multi-core processors are often considered too dangerous to use in critical systems, despite the many benefits they can offer. One reason is the advanced memory consistency model of such CPUs. Nowadays, most software verifiers assume strict sequential consistency, which is also the naïve view of programmers. Modern multi-core processors, however, rarely guarantee this assumption by default. In addition, complex processor architectures may easily contain design faults. Thanks to the recent advances in hardware verification, these faults are increasingly visible and can be detected even in existing processors, giving an opportunity to compensate for the problem in software. In this paper, we propose a generic approach to consider inconsistent behavior of the hardware in the analysis of software. Our approach is based on formal methods and can be used to detect the activation of existing hardware faults on the application level and facilitate their mitigation in software. The approach relies heavily on recent results of model checking and hardware verification and offers new, integrative research directions. We propose a partial solution based on existing model checking tools to demonstrate feasibility and evaluate their performance in this context.","memory consistency model, Fault, analysis, concurrent, litmus test",,,,
