Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,Edition,Address
Journal Article,"Conejero JM,Rodríguez-Echeverría R,Hernández J,Clemente PJ,Ortiz-Caraballo C,Jurado E,Sánchez-Figueroa F",,Early evaluation of technical debt impact on maintainability,Journal of Systems and Software,2018,142.0,,92-114,,,2018,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121218300736;http://dx.doi.org/10.1016/j.jss.2018.04.035,10.1016/j.jss.2018.04.035,"It is widely claimed that Technical Debt is related to quality problems being often produced by poor processes, lack of verification or basic incompetence. Several techniques have been proposed to detect Technical Debt in source code, as identification of modularity violations, code smells or grime buildups. These approaches have been used to empirically demonstrate the relation among Technical Debt indicators and quality harms. However, these works are mainly focused on programming level, when the system has already been implemented. There may also be sources of Technical Debt in non-code artifacts, e.g. requirements, and its identification may provide important information to move refactoring efforts to previous stages and reduce future Technical Debt interest. This paper presents an empirical study to evaluate whether modularity anomalies at requirements level are directly related to maintainability attributes affecting systems quality and increasing, thus, system's interest. The study relies on a framework that allows the identification of modularity anomalies and its quantification by using modularity metrics. Maintainability metrics are also used to assess dynamic maintainability properties. The results obtained by both sets of metrics are pairwise compared to check whether the more modularity anomalies the system presents, the less stable and more difficult to maintain it is.","Technical Debt indicator, Requirements, Modularity anomalies, Maintainability, Empirical evaluation",,,,
Journal Article,"Garg R,Singh RK",,Analysis and Prioritization of Design Metrics,Procedia Computer Science,2020,167.0,,1495-1504,,,2020,,1877-0509,https://www.sciencedirect.com/science/article/pii/S1877050920308267;http://dx.doi.org/10.1016/j.procs.2020.03.360,10.1016/j.procs.2020.03.360,"Clones at domain level during the design phase plays an important role to identify the risk at an early stage. The authors have analyzed the Design Metrics (DM) for its contribution towards the structural properties in domain models of the software. Then prioritization of these DM leads to classification of the majorly contributing DM elements. These Design Metrics relates to classes within the class diagram at design level that is useful for the identification of cross cutting concerns, origin analysis of software, software quality prediction and maintenance at the class level granularity. The authors have empirically evaluated the results for structural model clone detection.","Software Clones, Model clones, Model Driven Development, Software Maintenance",International Conference on Computational Intelligence and Data Science,,,
Journal Article,"Bezerra CI,Andrade RM,Monteiro JM",,Exploring quality measures for the evaluation of feature models: a case study,Journal of Systems and Software,2017,131.0,,366-385,,,2017,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121216301340;http://dx.doi.org/10.1016/j.jss.2016.07.040,10.1016/j.jss.2016.07.040,"Evaluating the quality of a feature model is essential to ensure that errors in the early stages do not spread throughout the Software Product Line (SPL). One way to evaluate the feature model is to use measures that could be associated with the feature model quality characteristics and their quality attributes. In this paper, we aim at investigating how measures can be applied to the quality assessment of SPL feature models. We performed an exploratory case study using the COfFEE maintainability measures catalog and the S.P.L.O.T. feature models repository. In order to support this case study, we built a dataset (denoted by MAcchiATO) containing the values of 32 measures from COfFEE for 218 software feature models, extracted from S.P.L.O.T. This research approach allowed us to explore three different data analysis techniques. First, we applied the Spearman’s rank correlation coefficient in order to identify relationships between the measures. This analysis showed that not all 32 measures in COfFEE are necessary to reveal the quality of a feature model and just 15 measures could be used. Next, the 32 measures in COfFEE were grouped by applying the Principal Component Analysis and a set of 9 new grouped measures were defined. Finally, we used the Tolerance Interval technique to define statistical thresholds for these 9 new grouped measures. So, our findings suggest that measures can be effectively used to support the quality evaluation of SPL feature models.","Software product line, Quality evaluation, Measures, Feature models",,,,
Journal Article,"Sharma T,Spinellis D",,A survey on software smells,Journal of Systems and Software,2018,138.0,,158-173,,,2018,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121217303114;http://dx.doi.org/10.1016/j.jss.2017.12.034,10.1016/j.jss.2017.12.034,"Context Smells in software systems impair software quality and make them hard to maintain and evolve. The software engineering community has explored various dimensions concerning smells and produced extensive research related to smells. The plethora of information poses challenges to the community to comprehend the state-of-the-art tools and techniques. Objective We aim to present the current knowledge related to software smells and identify challenges as well as opportunities in the current practices. Method We explore the definitions of smells, their causes as well as effects, and their detection mechanisms presented in the current literature. We studied 445 primary studies in detail, synthesized the information, and documented our observations. Results The study reveals five possible defining characteristics of smells — indicator, poor solution, violates best-practices, impacts quality, and recurrence. We curate ten common factors that cause smells to occur including lack of skill or awareness and priority to features over quality. We classify existing smell detection methods into five groups — metrics, rules/heuristics, history, machine learning, and optimization-based detection. Challenges in the smells detection include the tools’ proneness to false-positives and poor coverage of smells detectable by existing tools.","Code smells, Software smells, Antipatterns, Software quality, Maintainability, Smell detection tools, Technical debt",,,,
Journal Article,"Krishna R,Menzies T,Layman L",,Less is more: Minimizing code reorganization using XTREE,Information and Software Technology,2017,88.0,,53-66,,,2017,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584916301641;http://dx.doi.org/10.1016/j.infsof.2017.03.012,10.1016/j.infsof.2017.03.012,"Context: Developers use bad code smells to guide code reorganization. Yet developers, textbooks, tools, and researchers disagree on which bad smells are important. How can we offer reliable advice to developers about which bad smells to fix? Objective: To evaluate the likelihood that a code reorganization to address bad code smells will yield improvement in the defect-proneness of the code. Method: We introduce XTREE, a framework that analyzes a historical log of defects seen previously in the code and generates a set of useful code changes. Any bad smell that requires changes outside of that set can be deprioritized (since there is no historical evidence that the bad smell causes any problems). Evaluation: We evaluate XTREE’s recommendations for bad smell improvement against recommendations from previous work (Shatnawi, Alves, and Borges) using multiple data sets of code metrics and defect counts. Results: Code modules that are changed in response to XTREE’s recommendations contain significantly fewer defects than recommendations from previous studies. Further, XTREE endorses changes to very few code metrics, so XTREE requires programmers to do less work. Further, XTREE’s recommendations are more responsive to the particulars of different data sets. Finally XTREE’s recommendations may be generalized to identify the most crucial factors affecting multiple datasets (see the last figure in paper). Conclusion: Before undertaking a code reorganization based on a bad smell report, use a framework like XTREE to check and ignore any such operations that are useless; i.e. ones which lack evidence in the historical record that it is useful to make that change. Note that this use case applies to both manual code reorganizations proposed by developers as well as those conducted by automatic methods.","Bad smells, Performance prediction, Decision trees",,,,
Journal Article,"Xuan J,Cornu B,Martinez M,Baudry B,Seinturier L,Monperrus M",,B-Refactoring: Automatic test code refactoring to improve dynamic analysis,Information and Software Technology,2016,76.0,,65-80,,,2016,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584916300714;http://dx.doi.org/10.1016/j.infsof.2016.04.016,10.1016/j.infsof.2016.04.016,"Context: Developers design test suites to verify that software meets its expected behaviors. Many dynamic analysis techniques are performed on the exploitation of execution traces from test cases. In practice, one test case may imply various behaviors. However, the execution of a test case only yields one trace, which can hide the others. Objective: In this article, we propose a new technique of test code refactoring, called B-Refactoring. The idea behind B-Refactoring is to split a test case into small test fragments, which cover a simpler part of the control flow to provide better support for dynamic analysis. Method: For a given dynamic analysis technique, B-Refactoring monitors the execution of test cases and constructs small test cases without loss of the testability. We apply B-Refactoring to assist two existing analysis tasks: automatic repair of if-condition bugs and automatic analysis of exception contracts. Results: Experimental results show that B-Refactoring can effectively improve the execution traces of the test suite. Real-world bugs that could not be previously fixed with the original test suites are fixed after applying B-Refactoring; meanwhile, exception contracts are better verified via applying B-Refactoring to original test suites. Conclusions: We conclude that applying B-Refactoring improves the execution traces of test cases for dynamic analysis. This improvement can enhance existing dynamic analysis tasks.",,,,,
Book Chapter,"Palomba F,De Lucia A,Bavota G,Oliveto R",Memon A,"Chapter Four - Anti-Pattern Detection: Methods, Challenges, and Open Issues",,2014,95.0,,201-238,Elsevier,,2014,,0065-2458,https://www.sciencedirect.com/science/article/pii/B9780128001608000048;http://dx.doi.org/10.1016/B978-0-12-800160-8.00004-8,10.1016/B978-0-12-800160-8.00004-8,"Anti-patterns are poor solutions to recurring design problems. They occur in object-oriented systems when developers unwillingly introduce them while designing and implementing the classes of their systems. Several empirical studies have highlighted that anti-patterns have a negative impact on the comprehension and maintainability of a software systems. Consequently, their identification has received recently more attention from both researchers and practitioners who have proposed various approaches to detect them. This chapter discusses on the approaches proposed in the literature. In addition, from the analysis of the state-of-the-art, we will (i) derive a set of guidelines for building and evaluating recommendation systems supporting the detection of anti-patterns; and (ii) discuss some problems that are still open, to trace future research directions in the field. For this reason, the chapter provides a support to both researchers, who are interested in comprehending the results achieved so far in the identification of anti-patterns, and practitioner, who are interested in adopting a tool to identify anti-patterns in their software systems.","Anti-pattern, Code bad smells, Linguistic anti-pattern, Software metrics",,Advances in Computers,,
Journal Article,"Koch P,Hofer B,Wotawa F",,On the refinement of spreadsheet smells by means of structure information,Journal of Systems and Software,2019,147.0,,64-85,,,2019,,0164-1212,https://www.sciencedirect.com/science/article/pii/S016412121830219X;http://dx.doi.org/10.1016/j.jss.2018.09.092,10.1016/j.jss.2018.09.092,"Spreadsheet users are often unaware of the risks imposed by poorly designed spreadsheets. One way to assess spreadsheet quality is to detect smells which attempt to identify parts of spreadsheets that are hard to comprehend or maintain and which are more likely to be the root source of bugs. Unfortunately, current spreadsheet smell detection techniques suffer from a number of drawbacks that lead to incorrect or redundant smell reports. For example, the same quality issue is often reported for every copy of a cell, which may overwhelm users. To deal with these issues, we propose to refine spreadsheet smells by exploiting inferred structural information for smell detection. We therefore first provide a detailed description of our static analysis approach to infer clusters and blocks of related cells. We then elaborate on how to improve existing smells by providing three example refinements of existing smells that incorporate information about cell groups and computation blocks. Furthermore, we propose three novel smell detection techniques that make use of the inferred spreadsheet structures. Empirical evaluation of the proposed techniques suggests that the refinements successfully reduce the number of incorrectly and redundantly reported smells, and novel deficits are revealed by the newly introduced smells.","Spreadsheets, Code smells, Static analysis",,,,
Journal Article,"de Oliveira Barros M,de Almeida Farzat F,Travassos GH",,Learning from optimization: A case study with Apache Ant,Information and Software Technology,2015,57.0,,684-704,,,2015,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584914001839;http://dx.doi.org/10.1016/j.infsof.2014.07.015,10.1016/j.infsof.2014.07.015,"Context Software architecture degrades when changes violating the design-time architectural intents are imposed on the software throughout its life cycle. Such phenomenon is called architecture erosion. When changes are not controlled, erosion makes maintenance harder and negatively affects software evolution. Objective To study the effects of architecture erosion on a large software project and determine whether search-based module clustering might reduce the conceptual distance between the current architecture and the design-time one. Method To run an exploratory study with Apache Ant. First, we characterize Ant’s evolution in terms of size, change dispersion, cohesion, and coupling metrics, highlighting the potential introduction of architecture and code-level problems that might affect the cost of changing the system. Then, we reorganize the distribution of Ant’s classes using a heuristic search approach, intending to re-emerge its design-time architecture. Results In characterizing the system, we observed that its original, simple design was lost due to maintenance and the addition of new features. In optimizing its architecture, we found that current models used to drive search-based software module clustering produce complex designs, which maximize the characteristics driving optimization while producing class distributions that would hardly be acceptable to developers maintaining Ant. Conclusion The structural perspective promoted by the coupling and cohesion metrics precludes observing the adequate software module clustering from the perspective of software engineers when considering a large open source system. Our analysis adds evidence to the criticism of the dogma of driving design towards high cohesion and low coupling, at the same time observing the need for better models to drive design decisions. Apart from that, we see SBSE as a learning tool, allowing researchers to test Software Engineering models in extreme situations that would not be easily found in software projects.","Apache Ant, Heuristic search, Software module clustering, Experimental Software Engineering",,,,
Journal Article,"Blouin A,Lelli V,Baudry B,Coulon F",,User interface design smell: Automatic detection and refactoring of Blob listeners,Information and Software Technology,2018,102.0,,49-64,,,2018,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584918300892;http://dx.doi.org/10.1016/j.infsof.2018.05.005,10.1016/j.infsof.2018.05.005,"Context. User Interfaces (UIs) intensively rely on event-driven programming: interactive objects send UI events, which capture users’ interactions, to dedicated objects called controllers. Controllers use several UI listeners that handle these events to produce UI commands. Objective. First, we reveal the presence of design smells in the code that describes and controls UIs. Second, we demonstrate that specific code analyses are necessary to analyze and refactor UI code, because of its coupling with the rest of the code. Method. We conducted an empirical study on four large Java software systems. We studied to what extent the number of UI commands that a UI listener can produce has an impact on the change- and fault-proneness of the UI listener code. We developed a static code analysis for detecting UI commands in the code. Results. We identified a new type of design smell, called Blob listener, that characterizes UI listeners that can produce more than two UI commands. We proposed a systematic static code analysis procedure that searches for Blob listener that we implement in InspectorGuidget. We conducted experiments on the four software systems for which we manually identified 53 instances of Blob listener. InspectorGuidget successfully detected 52 Blob listeners out of 53. The results exhibit a precision of 81.25% and a recall of 98.11%. We then developed a semi-automatically and behavior-preserving refactoring process to remove Blob listeners. 49.06% of the 53 Blob listeners were automatically refactored. Patches have been accepted and merged. Discussions with developers of the four software systems assess the relevance of the Blob listener. Conclusion. This work shows that UI code also suffers from design smells that have to be identified and characterized. We argue that studies have to be conducted to find other UI design smells and tools that analyze UI code must be developed.","User interface, Event handling, Design smell, Software maintenance, Code refactoring, Empirical software engineering",,,,
Journal Article,"Sierra G,Shihab E,Kamei Y",,A survey of self-admitted technical debt,Journal of Systems and Software,2019,152.0,,70-82,,,2019,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121219300457;http://dx.doi.org/10.1016/j.jss.2019.02.056,10.1016/j.jss.2019.02.056,"Technical Debt is a metaphor used to express sub-optimal source code implementations that are introduced for short-term benefits that often need to be paid back later, at an increased cost. In recent years, various empirical studies have focused on investigating source code comments that indicate Technical Debt often referred to as Self-Admitted Technical Debt (SATD). Since the introduction of SATD as a concept, an increasing number of studies have examined various aspects pertaining to SATD. Therefore, in this paper we survey research work on SATD, analyzing the characteristics of current approaches and techniques for SATD detection, comprehension, and repayment. To motivate the submission of novel and improved work, we compile tools, resources, and data sets made available to replicate or extend current SATD research. To set the stage for future work, we identify open challenges in the study of SATD, areas that are missing investigation, and discuss potential future research avenues.","Self admitted technical debt, Software maintenance, Literature survey, Source code comments",,,,
Journal Article,"Islam S,Krinke J,Binkley D,Harman M",,Coherent clusters in source code,Journal of Systems and Software,2014,88.0,,1-24,,,2014,,0164-1212,https://www.sciencedirect.com/science/article/pii/S016412121300188X;http://dx.doi.org/10.1016/j.jss.2013.07.040,10.1016/j.jss.2013.07.040,"This paper presents the results of a large scale empirical study of coherent dependence clusters. All statements in a coherent dependence cluster depend upon the same set of statements and affect the same set of statements; a coherent cluster's statements have ‘coherent’ shared backward and forward dependence. We introduce an approximation to efficiently locate coherent clusters and show that it has a minimum precision of 97.76%. Our empirical study also finds that, despite their tight coherence constraints, coherent dependence clusters are in abundance: 23 of the 30 programs studied have coherent clusters that contain at least 10% of the whole program. Studying patterns of clustering in these programs reveals that most programs contain multiple substantial coherent clusters. A series of subsequent case studies uncover that all clusters of significant size map to a logical functionality and correspond to a program structure. For example, we show that for the program acct, the top five coherent clusters all map to specific, yet otherwise non-obvious, functionality. Cluster visualization also brings out subtle deficiencies in program structure and identifies potential refactoring candidates. A study of inter-cluster dependence is used to highlight how coherent clusters are connected to each other, revealing higher-level structures, which can be used in reverse engineering. Finally, studies are presented to illustrate how clusters are not correlated with program faults as they remain stable during most system evolution.","Dependence analysis, Program comprehension, Software clustering",,,,
Journal Article,"Islam MR,Zibran MF",,SentiStrength-SE: Exploiting domain specificity for improved sentiment analysis in software engineering text,Journal of Systems and Software,2018,145.0,,125-146,,,2018,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121218301675;http://dx.doi.org/10.1016/j.jss.2018.08.030,10.1016/j.jss.2018.08.030,"Automated sentiment analysis in software engineering textual artifacts has long been suffering from inaccuracies in those few tools available for the purpose. We conduct an in-depth qualitative study to identify the difficulties responsible for such low accuracy. Majority of the exposed difficulties are then carefully addressed through building a domain dictionary and appropriate heuristics. These domain-specific techniques are then realized in SentiStrength-SE, a tool we have developed for improved sentiment analysis in text especially designed for application in the software engineering domain. Using a benchmark dataset consisting of 5,600 manually annotated JIRA issue comments, we carry out both qualitative and quantitative evaluations of our tool. We also separately evaluate the contributions of individual major components (i.e., domain dictionary and heuristics) of SentiStrength-SE. The empirical evaluations confirm that the domain specificity exploited in our SentiStrength-SE enables it to substantially outperform the existing domain-independent tools/toolkits (SentiStrength, NLTK, and Stanford NLP) in detecting sentiments in software engineering text.","Sentiments, Emotions, Software engineering, Empirical study, Automation, Domain dictionary",,,,
Journal Article,"Majd A,Vahidi-Asl M,Khalilian A,Poorsarvi-Tehrani P,Haghighi H",,SLDeep: Statement-level software defect prediction using deep-learning model on static code features,Expert Systems with Applications,2020,147.0,,113156,,,2020,,0957-4174,https://www.sciencedirect.com/science/article/pii/S0957417419308735;http://dx.doi.org/10.1016/j.eswa.2019.113156,10.1016/j.eswa.2019.113156,"Software defect prediction (SDP) seeks to estimate fault-prone areas of the code to focus testing activities on more suspicious portions. Consequently, high-quality software is released with less time and effort. The current SDP techniques however work at coarse-grained units, such as a module or a class, putting some burden on the developers to locate the fault. To address this issue, we propose a new technique called as Statement-Level software defect prediction using Deep-learning model (SLDeep). The significance of SLDeep for intelligent and expert systems is that it demonstrates a novel use of deep-learning models to the solution of a practical problem faced by software developers. To reify our proposal, we defined a suite of 32 statement-level metrics, such as the number of binary and unary operators used in a statement. Then, we applied as learning model, long short-term memory (LSTM). We conducted experiments using 119,989 C/C++ programs within Code4Bench. The programs comprise 2,356,458 lines of code of which 292,064 lines are faulty. The benchmark comprises a diverse set of programs and versions, written by thousands of developers. Therefore, it tends to give a model that can be used for cross-project SDP. In the experiments, our trained model could successfully classify the unseen data (that is, fault-proneness of new statements) with average performance measures 0.979, 0.570, and 0.702 in terms of recall, precision, and accuracy, respectively. These experimental results suggest that SLDeep is effective for statement-level SDP. The impact of this work is twofold. Working at statement-level further alleviates developer's burden in pinpointing the fault locations. Second, cross-project feature of SLDeep helps defect prediction research become more industrially-viable.","Defect, Software fault proneness, Machine learning, Fault prediction model, Software metric",,,,
Journal Article,"Yamashita A,Counsell S",,Code smells as system-level indicators of maintainability: An empirical study,Journal of Systems and Software,2013,86.0,10.0,2639-2653,,,2013,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121213001258;http://dx.doi.org/10.1016/j.jss.2013.05.007,10.1016/j.jss.2013.05.007,"Context Code smells are manifestations of design flaws that can degrade code maintainability. So far, no research has investigated if these indicators are useful for conducting system-level maintainability evaluations. Aim The research in this paper investigates the potential of code smells to reflect system-level indicators of maintainability. Method We evaluated four medium-sized Java systems using code smells and compared the results against previous evaluations on the same systems based on expert judgment and the Chidamber and Kemerer suite of metrics. The systems were maintained over a period of up to 4 weeks. During maintenance, effort (person-hours) and number of defects were measured to validate the different evaluation approaches. Results Most code smells are strongly influenced by size; consequently code smells are not good indicators for comparing the maintainability of systems differing greatly in size. Also, from the comparison of the different evaluation approaches, expert judgment was found as the most accurate and flexible since it considered effects due to the system's size and complexity and could adapt to different maintenance scenarios. Conclusion Code smell approaches show promise as indicators of the need for maintenance in a way that other purely metric-based approaches lack.","Code smells, Maintainability, Empirical study, System evaluation",,,,
Journal Article,"Sudhamani M,Rangarajan L",,Code similarity detection through control statement and program features,Expert Systems with Applications,2019,132.0,,63-75,,,2019,,0957-4174,https://www.sciencedirect.com/science/article/pii/S0957417419302751;http://dx.doi.org/10.1016/j.eswa.2019.04.045,10.1016/j.eswa.2019.04.045,"Software clone detection is an emerging research area in the field of software engineering. Software systems are subjected to continuous modifications in source code to improve the performance of the software, which may lead to code redundancy. Duplicate code/code clone is a piece of code reworked several times in software programs due to copy paste activity or reusability of existing software. Code clone is a prime subject in software evolution. Detection of software clones at the time of software evolution may improve the performance of software and reduce the maintenance cost and effort. This paper proposes metric based methods to detect code clones, as software clone is a universal problem in large scale programming environment. This paper introduces two metric based approaches to detect code clones by comparing (i) Control Statement Features (ii) Program Features like different types of statements, operators and operands. In order to demonstrate the effectiveness of the proposed approaches, extensive experiments are conducted on two datasets, C projects of Bellon's benchmark dataset and student lab programs (SLP).The methods efficiently identify similar functional clones. Proposed models only find similarity of whole programs but intelligent enough to highlight similar code segments across program files.","Code duplication, Control Statement features, Program features, and Functional clones",,,,
Journal Article,"Mäkinen S,Leppänen M,Kilamo T,Mattila AL,Laukkanen E,Pagels M,Männistö T",,Improving the delivery cycle: A multiple-case study of the toolchains in Finnish software intensive enterprises,Information and Software Technology,2016,80.0,,175-194,,,2016,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584916301434;http://dx.doi.org/10.1016/j.infsof.2016.09.001,10.1016/j.infsof.2016.09.001,"Context: Software companies seek to gain benefit from agile development approaches in order to meet evolving market needs without losing their innovative edge. Agile practices emphasize frequent releases with the help of an automated toolchain from code to delivery. Objective: We investigate, which tools are used in software delivery, what are the reasons omitting certain parts of the toolchain and what implications toolchains have on how rapidly software gets delivered to customers. Method: We present a multiple-case study of the toolchains currently in use in Finnish software-intensive organizations interested in improving their delivery frequency. We conducted qualitative semi-structured interviews in 18 case organizations from various software domains. The interviewees were key representatives of their organization, considering delivery activities. Results: Commodity tools, such as version control and continuous integration, were used in almost every organization. Modestly used tools, such as UI testing and performance testing, were more distinctly missing from some organizations. Uncommon tools, such as artifact repository and acceptance testing, were used only in a minority of the organizations. Tool usage is affected by the state of current workflows, manual work and relevancy of tools. Organizations whose toolchains were more automated and contained fewer manual steps were able to deploy software more rapidly. Conclusions: There is variety in the need for tool support in different development steps as there are domain-specific differences in the goals of the case organizations. Still, a well-founded toolchain supports speedy delivery of new software.","Continuous deployment, Continuous delivery, Software development tools, Deployment pipeline, Agile software development",,,,
Journal Article,"Shang W,Adams B,Hassan AE",,Using Pig as a data preparation language for large-scale mining software repositories studies: An experience report,Journal of Systems and Software,2012,85.0,10.0,2195-2204,,,2012,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121211002007;http://dx.doi.org/10.1016/j.jss.2011.07.034,10.1016/j.jss.2011.07.034,"The Mining Software Repositories (MSR) field analyzes software repository data to uncover knowledge and assist development of ever growing, complex systems. However, existing approaches and platforms for MSR analysis face many challenges when performing large-scale MSR studies. Such approaches and platforms rarely scale easily out of the box. Instead, they often require custom scaling tricks and designs that are costly to maintain and that are not reusable for other types of analysis. We believe that the web community has faced many of these software engineering scaling challenges before, as web analyses have to cope with the enormous growth of web data. In this paper, we report on our experience in using a web-scale platform (i.e., Pig) as a data preparation language to aid large-scale MSR studies. Through three case studies, we carefully validate the use of this web platform to prepare (i.e., Extract, Transform, and Load, ETL) data for further analysis. Despite several limitations, we still encourage MSR researchers to leverage Pig in their large-scale studies because of Pig's scalability and flexibility. Our experience report will help other researchers who want to scale their analyses.","Software engineering, Mining Software Repositories, Pig, MapReduce",Automated Software Evolution,,,
Journal Article,"Fernández-López M,Poveda-Villalón M,Suárez-Figueroa MC,Gómez-Pérez A",,Why are ontologies not reused across the same domain?,Journal of Web Semantics,2019,57.0,,100492,,,2019,,1570-8268,https://www.sciencedirect.com/science/article/pii/S1570826818300726;http://dx.doi.org/10.1016/j.websem.2018.12.010,10.1016/j.websem.2018.12.010,"Even though one of the main characteristics of ontologies has always been claimed to be their reusability, throughout this paper it will be shown that ontology reuse across a given domain is not a consolidated practice. We have carried out a statistical study on ontology reuse in the ontologies collected in Linked Open Vocabularies (LOV), in addition to a particular analysis of a use case. The results of the present work show that, when building an ontology, the heterogeneity between the needed conceptualization and that of available ontologies, as well as the deficiencies in some of such ontologies (concerning documentation, licensing, etc.) are important obstacles for reusing ontologies of the same domain of the ontology under development. A possible approach to lessen these problems could be the creation of communities similar to open software ones in charge of developing and maintaining ontologies.","Ontology reuse, Ontology reliability, Ontology heterogeneity, Percentage of reuse, Reuse patterns, Drawbacks for reuse",,,,
Journal Article,"Chambers C,Scaffidi C",,Impact and utility of smell-driven performance tuning for end-user programmers,Journal of Visual Languages & Computing,2015,28.0,,176-194,,,2015,,1045-926X,https://www.sciencedirect.com/science/article/pii/S1045926X15000038;http://dx.doi.org/10.1016/j.jvlc.2015.01.002,10.1016/j.jvlc.2015.01.002,"This paper proposes a technique, called Smell-driven performance tuning (SDPT), which semi-automatically assists end-user programmers with fixing performance problems in visual dataflow programming languages. A within-subjects laboratory experiment showed SDPT increased end-user programmers’ success rate and decreased the time they required. Another study, based on using SDPT to analyze a corpus of example end-user programs, demonstrated that applying all available SDPT transformations achieved an execution time improvement of 42% and a memory usage improvement of 20%, comparable to improvements that expert programmers historically had manually achieved on the same programs. These results indicate that SDPT is an effective method for helping end-user programmers to fix performance problems.","End-user programming, Performance, Visual language",,,,
Book Chapter,,Betz CT,Appendix A - Extended Definitions for the IT Architectural Catalogs,,2011,,,315-408,Morgan Kaufmann,"Architecture and Patterns for IT Service Management, Resource Planning, and Governance: Making Shoes for the Cobbler's Children (Second Edition)",2011,9780123850171.0,,https://www.sciencedirect.com/science/article/pii/B9780123850171000055;http://dx.doi.org/10.1016/B978-0-12-385017-1.00005-5,10.1016/B978-0-12-385017-1.00005-5,,,,,Second Edition,Boston
Journal Article,"Azpeitia I,Iturrioz J,Díaz O",,Volunteering for Linked Data Wrapper maintenance: A platform perspective,Information Systems,2020,89.0,,101468,,,2020,,0306-4379,https://www.sciencedirect.com/science/article/pii/S0306437919305204;http://dx.doi.org/10.1016/j.is.2019.101468,10.1016/j.is.2019.101468,"Linked Data Wrappers (LDWs) turn Web APIs into RDF end-points, leveraging the Linked Open Data cloud with current data. Unfortunately, LDWs are fragile upon upgrades on the underlying APIs, compromising LDW stability. Hence, for API-based LDWs to become a sustainable foundation for the Web of Data, we should recognize LDW maintenance as a continuous effort that outlives their breakout projects. This is not new in Software Engineering. Other projects in the past faced similar issues. The strategy: becoming open source and turning towards dedicated platforms. By making LDWs open, we permit others not only to inspect (hence, increasing trust and consumption), but also to maintain (to cope with API upgrades) and reuse (to adapt for their own purposes). Promoting consumption, adaptation and reuse might all help to increase the user base, and in so doing, might provide the critical mass of volunteers, current LDW projects lack. Drawing upon the Helping Theory, we investigate three enablers of volunteering applied to LDW maintenance: impetus to respond, positive evaluation of contributing and increasing awareness. Insights are fleshed out through SYQL, a LDW platform on top of Yahoo’s YQL. Specifically, SYQL capitalizes on the YQL community (i.e. impetus to respond), providesannotation overlays to easy participation (i.e. positive evaluation of contributing), and introduces aHealth Checker (i.e. increasing awareness). Evaluation is conducted for 12 subjects involved in maintaining someone else’s LDWs. Results indicate that both the Health Checker and the annotation overlays provide utility as enablers of awareness and contribution.","Linked Data Wrappers, Maintenance, Open platforms, Volunteering, YQL",,,,
Journal Article,Shu Y,,A practical approach to modelling and validating integrity constraints in the Semantic Web,Knowledge-Based Systems,2018,153.0,,29-39,,,2018,,0950-7051,https://www.sciencedirect.com/science/article/pii/S0950705118301862;http://dx.doi.org/10.1016/j.knosys.2018.04.021,10.1016/j.knosys.2018.04.021,"Efforts have been made in the Semantic Web to combine rules with ontologies. One result of these efforts is the development of the Semantic Web Rule Language (SWRL) which is designed to integrate closely with the Web Ontology Language (OWL). Both SWRL and OWL adhere to the open-world semantics of first-order logic, and thus are not suitable for modelling integrity constraints in applications where complete knowledge about some parts of the domain can be assumed. In this paper, we investigate this problem and present a practical approach to modelling and validating constraints in the Semantic Web. Building on existing work, we show that by employing a constraint semantics for both OWL and SWRL, we can model common constraints as OWL axioms or SWRL rules. We also show that by using a query reduction technique, we can validate constraints using existing OWL/SWRL reasoners. Finally, we demonstrate the usefulness of our approach via a real-world case study.","Semantic Web, Data validation, Integrity constraint, OWL, SWRL",,,,
