"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Deep Learning Based Approach to Detect Code Clones","G. Li; Y. Tang; X. Zhang; B. Yi","National Innovation Institute of Defense Technology, Beijing, China; National Innovation Institute of Defense Technology, Beijing, China; National Innovation Institute of Defense Technology, Beijing, China; National Innovation Institute of Defense Technology, Beijing, China","2020 International Conference on Intelligent Computing and Human-Computer Interaction (ICHCI)","10 May 2021","2020","","","337","340","Code clone is a kind of code smells widely exists in practice. Such code smell may lead to serious problems, e.g., code redundancy and code inconsistency. To reduce the negative impact of code clones, researchers have proposed different approaches to detect and remove code clones. However, existing code clone detection approaches mostly rely on manually designed and fine-tuned heuristic rules. Such approaches cannot be exploited in different projects and the precision of them needs to improve further. To this end, this paper proposes a deep learning based approach to detect code clones by statically extracting syntactic features from the ASTs of source files. Evaluation results suggest that the proposed approach is effective in detecting code clones, its precision is around 90%.","","978-1-6654-2316-8","10.1109/ICHCI51889.2020.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424815","code clone;software quality;deep learning","Deep learning;Human computer interaction;Redundancy;Cloning;Syntactics;Programming;Benchmark testing","deep learning (artificial intelligence);software maintenance;software quality;source code (software)","deep learning;code clones detection;code smell;syntactic features extraction;ASTs","","","","30","IEEE","10 May 2021","","","IEEE","IEEE Conferences"
"Bellwethers: A Baseline Method for Transfer Learning","R. Krishna; T. Menzies","Department of Computer Science, North Carolina State University, Raleigh; Department of Computer Science, North Carolina State University, Raleigh","IEEE Transactions on Software Engineering","12 Nov 2019","2019","45","11","1081","1105","Software analytics builds quality prediction models for software projects. Experience shows that (a) the more projects studied, the more varied are the conclusions; and (b) project managers lose faith in the results of software analytics if those results keep changing. To reduce this conclusion instability, we propose the use of “bellwethers”: given N projects from a community the bellwether is the project whose data yields the best predictions on all others. The bellwethers offer a way to mitigate conclusion instability because conclusions about a community are stable as long as this bellwether continues as the best oracle. Bellwethers are also simple to discover (just wrap a for-loop around standard data miners). When compared to other transfer learning methods (TCA+, transfer Naive Bayes, value cognitive boosting), using just the bellwether data to construct a simple transfer learner yields comparable predictions. Further, bellwethers appear in many SE tasks such as defect prediction, effort estimation, and bad smell detection. We hence recommend using bellwethers as a baseline method for transfer learning against which future work should be compared.","1939-3520","","10.1109/TSE.2018.2821670","National Science Foundation(grant numbers:#1506586,#1302169); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8329264","Transfer learning;defect prediction;bad smells;issue close time;effort estimation;prediction","Estimation;Software;Software engineering;Task analysis;Benchmark testing;Complexity theory;Analytical models","learning (artificial intelligence);project management;software maintenance;software quality","software analytics;quality prediction models;software projects;transfer learning methods;bellwether data","","23","","154","IEEE","2 Apr 2018","","","IEEE","IEEE Journals"
"A case study in object-oriented patterns identified during manual refactoring","B. S. Dillon","Dahlgren Division Virginia Tech, Naval Surface Warfare Center, Blacksburg, VA, USA","2016 IEEE 14th International Conference on Software Engineering Research, Management and Applications (SERA)","21 Jul 2016","2016","","","91","98","Software design patterns are often-repeated implementations that have been identified and cataloged. These are commonly seen as useful and good patterns to implement. Occasionally the term “anti-pattern” has been used to identify less-useful patterns that also appear regularly. The exact definition of an anti-pattern is somewhat subjective, and the term has even been applied to some recognized design patterns. This paper discusses four manual refactoring case studies where patterns were discovered and cataloged. Evidence observed in the source code is used to infer how these patterns evolved. Based on these findings, preventive development practices are suggested. Potential improvements to development tools and a new method for pattern classification are suggested as subjects for future work.","","978-1-5090-0809-4","10.1109/SERA.2016.7516133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516133","Software evolution;reverse engineering;software aging;software quality;refactoring;design patterns;anti-patterns","Pattern recognition;Aging;Context;Manuals;Software design;Maintenance engineering","object-oriented methods;pattern classification;software maintenance;source code (software)","object-oriented patterns;manual refactoring;software design patterns;antipattern;source code;pattern classification","","","","25","IEEE","21 Jul 2016","","","IEEE","IEEE Conferences"
"An Experience Report on Using Code Smells Detection Tools","F. A. Fontana; E. Mariani; A. Mornioli; R. Sormani; A. Tonello","Department of Computer Science, Universita of Milano Bicocca, Milano, Italy; Department of Computer Science, Universita of Milano Bicocca, Milano, Italy; NA; Department of Computer Science, Universita of Milano Bicocca, Milano, Italy; Department of Computer Science, Universita of Milano Bicocca, Milano, Italy","2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops","14 Jul 2011","2011","","","450","457","Detecting code smells in the code and consequently applying the right refactoring steps when necessary is very important to improve the quality of the code. Different tools have been proposed for code smell detection, each one characterized by particular features. The aim of this paper is to describe our experience on using different tools for code smell detection. We outline the main differences among them and the different results we obtained.","","978-0-7695-4345-1","10.1109/ICSTW.2011.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954446","code smells;code smell detection toools;refactoring;quality code evaluation","Measurement;Benchmark testing;Java;Software;Feature extraction;Couplings;Surgery","software maintenance;software quality","code smell detection tool;refactoring step;code quality;software characteristic","","36","","21","IEEE","14 Jul 2011","","","IEEE","IEEE Conferences"
"Feature Envy Detection based on Bi-LSTM with Self-Attention Mechanism","H. Wang; J. Liu; J. Kang; W. Yin; H. Sun; H. Wang","Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; China Aeronautical Radio Electronics Research Institute, Shanghai, China; China Aeronautical Radio Electronics Research Institute, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; China Aeronautical Radio Electronics Research Institute, Shanghai, China","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","4 Jun 2021","2020","","","448","457","Code Smell refers to suboptimal or harmful structures in the source code that may impede the maintainability of software. It serves as an effective way to detect refactoring opportunities. As the most prevailing smell, Feature Envy and its detection has been deeply explored for many years, which produces massive automated detection methods. Nevertheless, the heuristic-based approach cannot reach a satisfying level, and the machine learning approach still needs further optimization. Recent advances in deep learning inspire the birth of deep learning based approach. In this paper, we define a simpler distance metric as numerical feature and we collect class name and method name as text feature. Then we leverage Bidirectional Long-Short Term Memory (Bi-LSTM) Network with self-attention mechanism to extract semantic distance information in the text part, and we adopt embedding technology to enhance the structure distance information in the numerical part. Combined with the two sophisticatedly designed modules and the final classification module, a more reliable and accurate model is presented. Experimental results on seven open-source Java projects show that our model significantly outperforms existing methods.","","978-1-6654-1485-2","10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444004","Code smell;Feature Envy Detection;Bi-LSTM;Self-Attention Mechanism","Measurement;Deep learning;Semantics;Reliability theory;Network architecture;Feature extraction;Reliability engineering","data mining;Java;learning (artificial intelligence);public domain software;software maintenance;software metrics","structure distance information;numerical part;seven open-source Java projects;Feature Envy detection;Code Smell;suboptimal structures;harmful structures;source code;refactoring opportunities;prevailing smell;massive automated detection methods;heuristic-based approach;satisfying level;text part;semantic distance information;self-attention mechanism;leverage Bidirectional Long-Short Term Memory;text feature;method name;class name;numerical feature;simpler distance metric;deep learning based approach","","1","","37","IEEE","4 Jun 2021","","","IEEE","IEEE Conferences"
"Detecting code smells using machine learning techniques: Are we there yet?","D. Di Nucci; F. Palomba; D. A. Tamburri; A. Serebrenik; A. De Lucia","University of Salerno, Italy; University of Zurich, Switzerland; Eindhoven University of Technology, The Netherlands; Eindhoven University of Technology, The Netherlands; University of Salerno, Italy","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","5 Apr 2018","2018","","","612","621","Code smells are symptoms of poor design and implementation choices weighing heavily on the quality of produced source code. During the last decades several code smell detection tools have been proposed. However, the literature shows that the results of these tools can be subjective and are intrinsically tied to the nature and approach of the detection. In a recent work the use of Machine-Learning (ML) techniques for code smell detection has been proposed, possibly solving the issue of tool subjectivity giving to a learner the ability to discern between smelly and non-smelly source code elements. While this work opened a new perspective for code smell detection, it only considered the case where instances affected by a single type smell are contained in each dataset used to train and test the machine learners. In this work we replicate the study with a different dataset configuration containing instances of more than one type of smell. The results reveal that with this configuration the machine learning techniques reveal critical limitations in the state of the art which deserve further research.","","978-1-5386-4969-5","10.1109/SANER.2018.8330266","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330266","Code Smells;Machine Learning;Empirical Studies;Replication Study","Detectors;Measurement;Tools;Software systems;Training;Predictive models;Buildings","learning (artificial intelligence);software maintenance","machine learning techniques;produced source code;code smell detection;single type smell;ML techniques;source code elements","","63","","90","IEEE","5 Apr 2018","","","IEEE","IEEE Conferences"
"Application of Naïve Bayes classifiers for refactoring Prediction at the method level","R. Panigrahi; S. K. kuanar; L. Kumar","Department of Computer Science and Engineering, GIET University, Gunupur, Odisha; Department of Computer Science and Engineering, GIET University, Gunupur, Odisha; Department of Computer Science and Information Systems, BITS-PILANI, Hyderabad, Hyderabad","2020 International Conference on Computer Science, Engineering and Applications (ICCSEA)","3 Jul 2020","2020","","","1","6","Software refactoring is a technique of redesigning the existing code without changing its functionality in order to improve on code readability, code adherence, maintainability and portability. Recent years have witnessed the advancement of research in the field of improvement in code quality. The challenges involved in the field has attracted many software practitioners to identify methods or classes that need refactoring. We propose a model to predict refactoring candidates by Naïve Bayes classifiers (Gaussian, Multinomial and Bernoulli (GNB, MNB, BNB)) at method level refactoring in terms of AUC and Accuracy. Method level refactoring is carried out on data set from the Tera-Promise repository and then validated. Min-max normalization and Imbalancing techniques are then applied. Then using the Wilcoxon rank test, 8 sets of significant features are drawn out of 103 sets of input features.The experimental results on the performance of 3 Naïve Bayes classifiers shows that the Bernoulli Naïve Bayes classifier gives more accuracy as compared to the other two classifiers. Statistical tests applied on all features (AF) and significant features (SF), shows that significant features gives more accurate prediction than all features.","","978-1-7281-5830-3","10.1109/ICCSEA49143.2020.9132849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9132849","Software refactoring;code smell;naïve Bayes classifier","Meters;Computer science;Codes;Machine learning algorithms;Gaussian processes;Predictive models;Software","Bayes methods;pattern classification;software maintenance;software quality;source code (software)","Naïve Bayes classifiers;software refactoring;code readability;code adherence;code quality","","","","13","IEEE","3 Jul 2020","","","IEEE","IEEE Conferences"
"An improved behavioral matching for anti-pattern based abstract factory recommendation","N. Nahar; T. S. U. Mahmud; K. Sakib","Institute of Information Technology, University of Dhaka, Bangladesh; Dhaka University, Dhaka, Dhaka District, BD; Institute of Information Technology, University of Dhaka, Bangladesh","2016 5th International Conference on Informatics, Electronics and Vision (ICIEV)","1 Dec 2016","2016","","","35","40","For a developed project, Abstract Factory can be recommended using structural and behavioral matching between the defined anti-patterns and project code. This paper proposes a refinement of the existing behavioral matching technique, where all possible aspects of Abstract Factory behaviors are considered. This matching phase is enhanced by generating family matrix using conditional and action parse, and product type matrix using class association. Those two matrices are analysed to identify whether a pair of classes have the same product type. If no such matching is found, regeneration of family matrix by class wise parsing is done and again the matrices are analysed for recommending Abstract Factory. The approach is implemented in the form of a tool named Source code based Abstract Factory Pattern Recommender (SAFPR). The performance is justified by an experimental result analysis that showed, SAFPR is successful in Abstract Factory recommendation for all the dataset projects.","","978-1-5090-1269-5","10.1109/ICIEV.2016.7760115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760115","","Production facilities;Pattern matching;Software design;Switches;Recommender systems;Containers","pattern matching;program compilers;project management;software development management;source code (software)","improved behavioral matching;antipattern based abstract factory recommendation;structural matching;project code;abstract factory behaviors;family matrix;product type matrix;class association;class wise parsing;source code based abstract factory pattern recommender;SAFPR","","","","12","IEEE","1 Dec 2016","","","IEEE","IEEE Conferences"
"Toward Proactive Refactoring: An Exploratory Study on Decaying Modules","N. Sae-Lim; S. Hayashi; M. Saeki","School of Computing, Tokyo Institute of Technology, Tokyo, Japan; School of Computing, Tokyo Institute of Technology, Tokyo, Japan; School of Computing, Tokyo Institute of Technology, Tokyo, Japan","2019 IEEE/ACM 3rd International Workshop on Refactoring (IWoR)","19 Sep 2019","2019","","","39","46","Source code quality is often measured using code smell, which is an indicator of design flaw or problem in the source code. Code smells can be detected using tools such as static analyzer that detects code smells based on source code metrics. Further, developers perform refactoring activities based on the result of such detection tools to improve source code quality. However, such approach can be considered as reactive refactoring, i.e., developers react to code smells after they occur. This means that developers first suffer the effects of low quality source code (e.g., low readability and understandability) before they start solving code smells. In this study, we focus on proactive refactoring, i.e., refactoring source code before it becomes smelly. This approach would allow developers to maintain source code quality without having to suffer the impact of code smells. To support the proactive refactoring process, we propose a technique to detect decaying modules, which are non-smelly modules that are about to become smelly. We present empirical studies on open source projects with the aim of studying the characteristics of decaying modules. Additionally, to facilitate developers in the refactoring planning process, we perform a study on using a machine learning technique to predict decaying modules and report a factor that contributes most to the performance of the model under consideration.","","978-1-7281-2270-0","10.1109/IWoR.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8844415","code quality;code smell;refactoring","Teeth;Tools;Indexes;Software;Current measurement;Machine learning","learning (artificial intelligence);public domain software;software maintenance;software metrics;software quality;source code (software)","decaying modules;code smell;source code metrics;proactive refactoring process;open source projects;source code quality maintenance;machine learning technique","","3","","23","IEEE","19 Sep 2019","","","IEEE","IEEE Conferences"
"Bug Prediction Model using Code Smells","G. M. Ubayawardana; D. D. Karunaratna","University of Colombo School of Computing, No 35 Reid Avenue, Colombo, Sri Lanka; University of Colombo, Colombo, Western, LK","2018 18th International Conference on Advances in ICT for Emerging Regions (ICTer)","17 Jan 2019","2018","","","70","77","The term `Code Smells' was first coined in the book Refactoring: Improving the design of existing code by M Fowler in 1999. Code smells are poor design choices which have the potential to cause an error or failure in a computer program. The objective of this study is to use code smells as a candidate metric to build a bug prediction model. In this study we have built a bug prediction model using both source code metrics and code smell based metrics proposed in the literature. We used Naive Bayes, Random Forest and Logistic Regression as our candidate algorithms to build the model. We have trained our model against multiple versions of 13 different Java based open source projects. The trained model was used to predict bugs in a particular version of a project, within a particular project and among different projects. We were able to demonstrate, that code smell based metrics can significantly improve the accuracy of a bug prediction model when integrated with source code metrics. Random Forest algorithm based model showed higher accuracy within a version, within a project and among projects when compared to other algorithms.","2472-7598","978-1-5386-7352-2","10.1109/ICTER.2018.8615550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615550","code smells;bug prediction;source code metrics","Computer bugs;Measurement;Predictive models;Complexity theory;Computational modeling;Software systems","Bayes methods;Java;program debugging;public domain software;random forests;regression analysis;software metrics;source code (software)","bug prediction model;source code metrics;random forest;code smells;naive Bayes;logistic regression","","3","","23","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Software Design Patterns Recommendation : A Systematic Literature Review","M. Z. Asghar; K. A. Alam; S. Javed","Deptarment of Computer Sciences, National University Fast, Islamabad, Pakistan; Deptarment of Computer Sciences, National University Fast, Islamabad, Pakistan; Deptarment of Computer Sciences, National University Fast, Islamabad, Pakistan","2019 International Conference on Frontiers of Information Technology (FIT)","13 Feb 2020","2019","","","167","1675","Design patterns are essential for development. It provides reusability, modularization, quality and consistency between design and implementation. Expert knowledge required for the selection of correct design patterns. Moreover, the recommendation of design patterns is an important task for software development. Many tools and techniques were proposed to recommend design patterns. The main objective of this research is to perform a systematic literature review based on Kitchenham guidelines. We have analyzed the studies with different perspectives: Study objective, validation, recommendation technique for design pattern and limitation of the study. We have considered the research publication from 2010 to 2019 and examined them on four electronic databases. A total of 22 studies are identified from 2010-2019 and classified them on predefined classification criteria. Overall research findings concluded that anti-pattern detection and selection and fuzzy technique are most widely used but still there is a research gap that exists from the recent 2-years. It was observed that the traditional and most practiced recommendation techniques are not used in software design patterns recommendation.","2334-3141","978-1-7281-6625-4","10.1109/FIT47737.2019.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991630","Pattern Selection, Pattern Detection, Design Patterns, Pattern Recommendation, Systematic Literature Review","","fuzzy set theory;pattern classification;software architecture;software quality;software reusability","design pattern;anti-pattern detection;software design patterns recommendation;systematic literature review;correct design patterns;software development;recommendation technique;fuzzy technique;predefined classification criteria","","2","","33","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Reducing Subjectivity in Code Smells Detection: Experimenting with the Long Method","S. Bryton; F. Brito e Abreu; M. Monteiro","QUASAR / CITI / FCT, Universidade Nova de Lisboa, Caparica, Portugal; QUASAR / CITI / FCT, Universidade Nova de Lisboa, Caparica, Portugal; CITI / FCT, Universidade Nova de Lisboa, Caparica, Portugal","2010 Seventh International Conference on the Quality of Information and Communications Technology","3 Dec 2010","2010","","","337","342","Guidelines for refactoring are meant to improve software systems internal quality and are widely acknowledged as among software’s best practices. However, such guidelines remain mostly qualitative in nature. As a result, judgments on how to conduct refactoring processes remain mostly subjective and therefore non-automatable, prone to errors and unrepeatable. The detection of the Long Method code smell is an example. To address this problem, this paper proposes a technique to detect Long Method objectively and automatically, using a Binary Logistic Regression model calibrated by expert’s knowledge. The results of an experiment illustrating the use of this technique are reported.","","978-1-4244-8539-0","10.1109/QUATIC.2010.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5655669","Refactoring Process;Code Smells;Long Method;Binary Logistic Regression","Measurement;Correlation;Mathematical model;Predictive models;Complexity theory;Logistics;Training","expert systems;regression analysis;software maintenance;software reusability;systems software","code smells detection;software systems;refactoring processes;long method code smell;binary logistic regression model;expert knowledge","","13","","24","IEEE","3 Dec 2010","","","IEEE","IEEE Conferences"
"An Empirical Examination of the Relationship between Code Smells and Merge Conflicts","I. Ahmed; C. Brindescu; U. A. Mannan; C. Jensen; A. Sarma","School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA; School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA; School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA; School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA; School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","11 Dec 2017","2017","","","58","67","Background: Merge conflicts are a common occurrence in software development. Researchers have shown the negative impact of conflicts on the resulting code quality and the development workflow. Thus far, no one has investigated the effect of bad design (code smells) on merge conflicts. Aims: We posit that entities that exhibit certain types of code smells are more likely to be involved in a merge conflict. We also postulate that code elements that are both ""smelly"" and involved in a merge conflict are associated with other undesirable effects (more likely to be buggy). Method: We mined 143 repositories from GitHub and recreated 6,979 merge conflicts to obtain metrics about code changes and conflicts. We categorized conflicts into semantic or non-semantic, based on whether changes affected the Abstract Syntax Tree. For each conflicting change, we calculate the number of code smells and the number of future bug-fixes associated with the affected lines of code. Results: We found that entities that are smelly are three times more likely to be involved in merge conflicts. Method-level code smells (Blob Operation and Internal Duplication) are highly correlated with semantic conflicts. We also found that code that is smelly and experiences merge conflicts is more likely to be buggy. Conclusion: Bad code design not only impacts maintainability, it also impacts the day to day operations of a project, such as merging contributions, and negatively impacts the quality of the resulting code. Our findings indicate that research is needed to identify better ways to support merge conflict resolution to minimize its effect on code quality.","","978-1-5090-4039-1","10.1109/ESEM.2017.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170085","Code Smell;Merge Conflict;Empirical Analysis;Machine Learning","Software;Merging;Computer bugs;Tools;Software measurement;Semantics","data mining;program debugging;public domain software;software maintenance;software metrics","conflicting change;method-level code;semantic conflicts;code changes;code elements;resulting code quality;merge conflicts Background;code smells;conflict resolution;Bad code design","","19","","68","IEEE","11 Dec 2017","","","IEEE","IEEE Conferences"
"What if I Had No Smells?","D. Falessi; B. Russo; K. Mullen","Dept. of Computer Science and Software Engineering, California Polytechnic State University, San Luis Obispo, CA, USA; Faculty of Computer Science, Free University of Bozen-Bolzano, Bolzano, Italy, USA; Keymind A Division of Axiom Resource Management, Inc. Falls Church, VA, USA","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","11 Dec 2017","2017","","","78","84","What would have happened if I did not have any code smell? This is an interesting question that no previous study, to the best of our knowledge, has tried to answer. In this paper, we present a method for implementing a what-if scenario analysis estimating the number of defective files in the absence of smells. Our industrial case study shows that 20% of the total defective files were likely avoidable by avoiding smells. Such estimation needs to be used with the due care though as it is based on a hypothetical history (i.e., zero number of smells and same process and product change characteristics). Specifically, the number of defective files could even increase for some types of smells. In addition, we note that in some circumstances, accepting code with smells might still be a good option for a company.","","978-1-5090-4039-1","10.1109/ESEM.2017.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170087","code smells;machine learning;software estimation;technical debt","Tools;Maintenance engineering;Software;Logic gates;Estimation;History;Business","software maintenance;software quality","code smell;total defective files","","11","","36","IEEE","11 Dec 2017","","","IEEE","IEEE Conferences"
"Sniffing Android Code Smells: An Association Rules Mining-Based Approach","J. Rubin; A. N. Henniche; N. Moha; M. Bouguessa; N. Bousbia","University of Quebec in Montreal; Higher National School of Computer Science, Montreal, Canada - Algiers, Algeria; University of Quebec in Montreal; University of Quebec in Montreal; Higher National School of Computer Science, Montreal, Canada - Algiers, Algeria","2019 IEEE/ACM 6th International Conference on Mobile Software Engineering and Systems (MOBILESoft)","29 Aug 2019","2019","","","123","127","Interest in mobile applications (mobile apps) has grown significantly in recent years and has become an important part of the software development market. Indeed, mobile apps become more and more complex and evolve constantly, while their development time decreases. This complexity and time pressure might lead developers to adopt bad design and implementation choices, which are known as code smells. Code smells in mobile apps could lead to performance issues such as overconsumption of hardware resources (CPU, RAM, battery) or even downtime and crashes. Some tools have been proposed for the detection of code smells in Android apps, such as PAPRIKA or ADOCTOR tools. These tools rely on metrics-based detection rules, which are defined manually according to code smell definitions. However, manually defined rules might be inaccurate and subjective because they are based on user interpretations. In this paper, we present a tool-based approach, called FAKIE, which allows the automatic inference of detection rules by analysing code smells data using an association rules algorithm: FP-GROWTH. We validated FAKIE by applying it on a manually analysed validation dataset of 48 opensource mobile apps. We were able to generate detection rules for a dozen code smells, with an average F-measure of 0.95. After all of that, we performed an empirical study by applying FAKIE on 2,993 apps downloaded from ANDROZOO, a repository of mobile apps.","","978-1-7281-3395-9","10.1109/MOBILESoft.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816887","Android, code smells, detection, association rules, mobile applications","Measurement;Mobile applications;Tools;Software;Complexity theory;Manuals;Computer crashes","Android (operating system);data mining;mobile computing;software maintenance;source code (software)","dozen code;android code;association rules mining-based approach;mobile applications;software development market;Android apps;metrics-based detection rules;code smell definitions;manually defined rules;tool-based approach;code analysis;opensource mobile apps","","1","","33","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Helping end users find and fix performance issues in visual dataflow code","C. Chambers","School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR, USA","2013 IEEE Symposium on Visual Languages and Human Centric Computing","24 Oct 2013","2013","","","169","170","In this paper, the author discusses three techniques that will help end users find and fix performance problems in dataflow code. All of these techniques adapt the established concept of a “bad smell,” which is a heuristic for finding sections of code that function correctly but that have poor maintainability. This concept is adapted and applied in the context of visual dataflow languages for the novel purpose of helping them find and fix a broad range of performance problems. To test these techniques, we will create a prototype that applies them to LabVIEW. Using this prototype, we will conduct several user studies to evaluate how useful each technique is and how well they help end users to find and fix performance problems.","1943-6106","978-1-4799-0369-6","10.1109/VLHCC.2013.6645269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6645269","","Visualization;Prototypes;Software;Instruments;Computers;Arrays;Performance analysis","data flow analysis;software maintenance;software performance evaluation;visual languages;visual programming","performance problems;visual dataflow code;bad smell concept;maintainability;visual dataflow languages;LabVIEW","","","","11","IEEE","24 Oct 2013","","","IEEE","IEEE Conferences"
"Size and Frequency of Class Change from a Refactoring Perspective","S. Counsell; E. Mendes","Department of Information Systems and Computing, Brunei University, Uxbridge, Middlesex, UK; Department of Computer Science, University of Auckland, New Zealand","Third International IEEE Workshop on Software Evolvability 2007","12 Nov 2007","2007","","","23","28","A previous study by Bieman et al., investigated whether large, object-oriented classes were more susceptible to change than smaller classes. The measure of change used in the study was the frequency with which the features of a class had been changed over a specific period of time. From a refactoring perspective, the frequency of class change is of value But even for a relatively simple refactoring such as 'rename method', multiple classes may undergo minor modification without any net increase in class (and system) size. In this paper, we suggest that the combination of 'versions of a class and number of added lines of code ' in the bad code 'smell' detection process may give a better impression of which classes are most suitable candidates for refactoring; as such, effort in detecting bad code smells should apply to classes with a high growth rate as well as a high change frequency. To support our investigation, data relating to changes from 161 Java classes was collected. Results concluded that it is not necessarily the case that large classes are more change-prone than relatively smaller classes. Moreover, the bad code smell detection process is informed by using the combination of change frequency and class size as a heuristic.","","978-0-7695-3002-4","10.1109/SE.2007.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4383093","Version;Refactoring;LOC.","Java;Lab-on-a-chip;Conferences;Information systems;Computer science;Frequency measurement;Time measurement;Data analysis;Software libraries;Software quality","Java;object-oriented programming","refactoring perspective;object-oriented classes;rename method;bad code smell detection;Java classes","","2","","18","IEEE","12 Nov 2007","","","IEEE","IEEE Conferences"
"H-RAFT - heuristic reachability analysis for fault tolerance protocols modelled in SDL","S. M. Bohm","University of Duisburg-Essen, Essen, Germany","2005 International Conference on Dependable Systems and Networks (DSN'05)","25 Jul 2005","2005","","","466","475","Design flaws of fault tolerance techniques may lead to undesired consequences in particular fault cases under very special operating conditions. Such rare ""fault tolerance holes"" may be very difficult to reveal. This paper presents a novel approach directing the analysis towards potential weaknesses in a fault tolerance technique. A new algorithm based on special heuristics performs partial reachability analysis of SDL models describing fault-tolerant communication. It aims at finding violations of fault tolerance properties in an efficient way. The approach does not require knowledge of the model under investigation. The new algorithm is evaluated by experiments with realistic protocols - including a large model of an industrial system - and compared to the performance of known solutions.","2158-3927","0-7695-2282-3","10.1109/DSN.2005.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1467821","","Reachability analysis;Fault tolerance;Protocols;State-space methods;Safety;Automata;Tree graphs;Formal verification;Hardware;Testing","fault tolerant computing;program testing;protocols;formal verification;specification languages;reachability analysis","heuristic reachability analysis;fault tolerance technique;protocol;SDL;specification and description language;design flaw","","","","20","IEEE","25 Jul 2005","","","IEEE","IEEE Conferences"
